"time
References : ['TRAN.OUT']
Dependency : [time]
Num. Points : [215219]
Matrix Size : scalar
Type : Real","TRAN.OUT
References : []
Dependency : [time]
Num. Points : [215219]
Matrix Size : scalar
Type : Real"
4.116 nsec,-23.98 fV
4.121 nsec,-19.58 fV
4.126 nsec,-15.02 fV
4.131 nsec,-10.61 fV
4.136 nsec,-6.329 fV
4.141 nsec,-2.164 fV
4.146 nsec,1.870 fV
4.151 nsec,6.052 fV
4.156 nsec,10.99 fV
4.161 nsec,16.21 fV
4.166 nsec,21.04 fV
4.171 nsec,25.05 fV
4.176 nsec,28.62 fV
4.181 nsec,32.29 fV
4.186 nsec,35.55 fV
4.191 nsec,38.30 fV
4.196 nsec,40.75 fV
4.201 nsec,42.58 fV
4.206 nsec,43.52 fV
4.211 nsec,43.71 fV
4.216 nsec,43.88 fV
4.221 nsec,44.26 fV
4.226 nsec,44.14 fV
4.231 nsec,43.15 fV
4.236 nsec,41.15 fV
4.241 nsec,38.78 fV
4.246 nsec,37.17 fV
4.251 nsec,35.69 fV
4.256 nsec,33.26 fV
4.261 nsec,30.40 fV
4.266 nsec,28.09 fV
4.271 nsec,25.71 fV
4.276 nsec,22.69 fV
