"Vcc
References : ['ts(HB.Vout)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","time
References : ['ts(HB.Vout)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","ts(HB.Vout)
References : []
Dependency : [Vcc,time]
Num. Points : [7,225]
Matrix Size : scalar
Type : Real"
3.200,639.0 psec,-65.74 mV
3.200,642.0 psec,-62.58 mV
3.200,645.0 psec,-59.10 mV
3.200,648.0 psec,-55.39 mV
3.200,651.0 psec,-51.57 mV
3.200,654.0 psec,-47.71 mV
3.200,657.0 psec,-43.91 mV
3.200,660.0 psec,-40.23 mV
3.200,663.0 psec,-36.72 mV
3.200,666.0 psec,-33.41 mV
3.200,669.0 psec,-30.32 mV
3.200,672.0 psec,-27.45 mV
3.300,0.0000 sec,-28.77 mV
3.300,3.000 psec,-26.00 mV
3.300,6.000 psec,-23.46 mV
3.300,9.000 psec,-21.15 mV
3.300,12.00 psec,-19.04 mV
3.300,15.00 psec,-17.13 mV
3.300,18.00 psec,-15.40 mV
3.300,21.00 psec,-13.85 mV
3.300,24.00 psec,-12.47 mV
3.300,27.00 psec,-11.23 mV
3.300,30.00 psec,-10.12 mV
3.300,33.00 psec,-9.113 mV
