"time
References : ['TRAN.Vout']
Dependency : [time]
Num. Points : [200010]
Matrix Size : scalar
Type : Real","TRAN.Vout
References : []
Dependency : [time]
Num. Points : [200010]
Matrix Size : scalar
Type : Real"
3.716 nsec,2.810 mV
3.721 nsec,2.764 mV
3.726 nsec,2.719 mV
3.731 nsec,2.673 mV
3.736 nsec,2.627 mV
3.741 nsec,2.581 mV
3.746 nsec,2.535 mV
3.751 nsec,2.489 mV
3.756 nsec,2.444 mV
3.761 nsec,2.398 mV
3.766 nsec,2.352 mV
3.771 nsec,2.306 mV
3.776 nsec,2.260 mV
3.781 nsec,2.214 mV
3.786 nsec,2.168 mV
3.791 nsec,2.123 mV
3.796 nsec,2.077 mV
3.801 nsec,2.032 mV
3.806 nsec,1.987 mV
3.811 nsec,1.941 mV
3.816 nsec,1.896 mV
3.821 nsec,1.851 mV
3.826 nsec,1.807 mV
3.831 nsec,1.762 mV
3.836 nsec,1.717 mV
3.841 nsec,1.673 mV
3.846 nsec,1.629 mV
3.851 nsec,1.585 mV
3.856 nsec,1.541 mV
3.861 nsec,1.497 mV
3.866 nsec,1.454 mV
3.871 nsec,1.410 mV
3.876 nsec,1.367 mV
3.881 nsec,1.324 mV
3.886 nsec,1.282 mV
3.891 nsec,1.239 mV
3.896 nsec,1.197 mV
3.901 nsec,1.155 mV
3.906 nsec,1.114 mV
3.911 nsec,1.072 mV
3.916 nsec,1.031 mV
3.921 nsec,990.4 uV
3.926 nsec,950.0 uV
3.931 nsec,910.0 uV
3.936 nsec,870.4 uV
3.941 nsec,831.1 uV
3.946 nsec,792.3 uV
3.951 nsec,753.9 uV
3.956 nsec,716.0 uV
3.961 nsec,678.5 uV
3.966 nsec,641.6 uV
3.971 nsec,605.2 uV
3.976 nsec,569.4 uV
3.981 nsec,534.1 uV
3.986 nsec,499.4 uV
3.991 nsec,465.4 uV
3.996 nsec,432.0 uV
4.001 nsec,399.3 uV
4.006 nsec,367.3 uV
4.011 nsec,336.1 uV
4.016 nsec,305.5 uV
4.021 nsec,275.8 uV
4.026 nsec,246.9 uV
4.031 nsec,218.7 uV
4.036 nsec,191.4 uV
4.041 nsec,165.0 uV
4.046 nsec,139.4 uV
4.051 nsec,114.8 uV
4.056 nsec,90.99 uV
4.061 nsec,68.14 uV
4.066 nsec,46.24 uV
4.071 nsec,25.27 uV
4.076 nsec,5.269 uV
4.081 nsec,-13.77 uV
4.086 nsec,-31.83 uV
4.091 nsec,-48.92 uV
4.096 nsec,-65.02 uV
4.101 nsec,-80.13 uV
4.106 nsec,-94.25 uV
4.111 nsec,-107.4 uV
4.116 nsec,-119.5 uV
4.121 nsec,-130.7 uV
4.126 nsec,-140.8 uV
4.131 nsec,-150.0 uV
4.136 nsec,-158.3 uV
4.141 nsec,-165.5 uV
4.146 nsec,-171.8 uV
4.151 nsec,-177.1 uV
4.156 nsec,-181.5 uV
4.161 nsec,-185.0 uV
4.166 nsec,-187.5 uV
4.171 nsec,-189.2 uV
4.176 nsec,-189.9 uV
4.181 nsec,-189.7 uV
4.186 nsec,-188.7 uV
4.191 nsec,-186.8 uV
4.196 nsec,-184.0 uV
4.201 nsec,-180.4 uV
4.206 nsec,-176.0 uV
4.211 nsec,-170.7 uV
4.216 nsec,-164.7 uV
4.221 nsec,-157.8 uV
4.226 nsec,-150.1 uV
4.231 nsec,-141.7 uV
4.236 nsec,-132.5 uV
4.241 nsec,-122.5 uV
4.246 nsec,-111.7 uV
4.251 nsec,-100.2 uV
4.256 nsec,-87.90 uV
4.261 nsec,-74.88 uV
4.266 nsec,-61.12 uV
4.271 nsec,-46.61 uV
4.276 nsec,-31.37 uV
4.281 nsec,-15.38 uV
4.286 nsec,1.339 uV
4.291 nsec,18.80 uV
4.296 nsec,36.99 uV
4.301 nsec,55.93 uV
4.306 nsec,75.60 uV
4.311 nsec,96.01 uV
4.316 nsec,117.2 uV
4.321 nsec,139.1 uV
4.326 nsec,161.7 uV
4.331 nsec,185.1 uV
4.336 nsec,209.2 uV
4.341 nsec,234.1 uV
4.346 nsec,259.7 uV
4.351 nsec,286.1 uV
4.356 nsec,313.2 uV
4.361 nsec,341.1 uV
4.366 nsec,369.7 uV
4.371 nsec,399.1 uV
4.376 nsec,429.2 uV
4.381 nsec,460.0 uV
4.386 nsec,491.6 uV
