"freq
References : ['phase(analysis.SP.S(1,1))']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(analysis.SP.S(1,1))
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
1.218 GHz,-135.316
1.218 GHz,-135.305
1.219 GHz,-135.294
1.219 GHz,-135.283
1.219 GHz,-135.273
1.219 GHz,-135.262
1.220 GHz,-135.252
1.220 GHz,-135.243
1.220 GHz,-135.233
1.220 GHz,-135.223
1.221 GHz,-135.213
1.221 GHz,-135.203
1.221 GHz,-135.193
1.222 GHz,-135.183
1.222 GHz,-135.173
1.222 GHz,-135.163
1.222 GHz,-135.153
1.223 GHz,-135.142
1.223 GHz,-135.132
1.223 GHz,-135.122
1.224 GHz,-135.112
1.224 GHz,-135.102
1.224 GHz,-135.092
1.224 GHz,-135.083
1.225 GHz,-135.073
1.225 GHz,-135.064
1.225 GHz,-135.055
1.226 GHz,-135.046
1.226 GHz,-135.037
1.226 GHz,-135.029
1.226 GHz,-135.021
1.227 GHz,-135.013
1.227 GHz,-135.005
1.227 GHz,-134.998
1.228 GHz,-134.991
1.228 GHz,-134.985
1.228 GHz,-134.979
1.228 GHz,-134.973
1.229 GHz,-134.968
1.229 GHz,-134.963
1.229 GHz,-134.959
1.230 GHz,-134.955
1.230 GHz,-134.952
1.230 GHz,-134.950
1.230 GHz,-134.948
1.231 GHz,-134.947
1.231 GHz,-134.947
1.231 GHz,-134.947
1.231 GHz,-134.949
1.232 GHz,-134.951
1.232 GHz,-134.953
1.232 GHz,-134.956
1.233 GHz,-134.960
1.233 GHz,-134.964
1.233 GHz,-134.969
1.233 GHz,-134.974
1.234 GHz,-134.979
1.234 GHz,-134.984
1.234 GHz,-134.990
1.235 GHz,-134.995
1.235 GHz,-135.001
1.235 GHz,-135.007
1.235 GHz,-135.013
1.236 GHz,-135.018
1.236 GHz,-135.024
1.236 GHz,-135.030
1.237 GHz,-135.035
1.237 GHz,-135.040
1.237 GHz,-135.044
1.237 GHz,-135.049
1.238 GHz,-135.052
1.238 GHz,-135.056
1.238 GHz,-135.058
1.238 GHz,-135.061
1.239 GHz,-135.062
1.239 GHz,-135.063
1.239 GHz,-135.063
1.240 GHz,-135.063
1.240 GHz,-135.061
1.240 GHz,-135.059
1.240 GHz,-135.056
1.241 GHz,-135.052
1.241 GHz,-135.048
1.241 GHz,-135.043
1.242 GHz,-135.038
1.242 GHz,-135.032
1.242 GHz,-135.026
1.242 GHz,-135.019
1.243 GHz,-135.012
1.243 GHz,-135.005
1.243 GHz,-134.997
1.244 GHz,-134.989
1.244 GHz,-134.981
1.244 GHz,-134.972
1.244 GHz,-134.964
1.245 GHz,-134.955
1.245 GHz,-134.946
1.245 GHz,-134.937
1.246 GHz,-134.927
1.246 GHz,-134.918
1.246 GHz,-134.909
1.246 GHz,-134.900
1.247 GHz,-134.891
1.247 GHz,-134.881
1.247 GHz,-134.872
1.248 GHz,-134.864
1.248 GHz,-134.855
1.248 GHz,-134.847
1.248 GHz,-134.838
1.249 GHz,-134.830
1.249 GHz,-134.823
1.249 GHz,-134.816
1.249 GHz,-134.809
1.250 GHz,-134.802
1.250 GHz,-134.796
1.250 GHz,-134.790
1.251 GHz,-134.784
1.251 GHz,-134.779
1.251 GHz,-134.773
1.251 GHz,-134.767
1.252 GHz,-134.761
1.252 GHz,-134.756
1.252 GHz,-134.750
1.253 GHz,-134.744
1.253 GHz,-134.739
1.253 GHz,-134.733
1.253 GHz,-134.728
1.254 GHz,-134.723
1.254 GHz,-134.718
1.254 GHz,-134.713
1.255 GHz,-134.708
1.255 GHz,-134.703
1.255 GHz,-134.698
1.255 GHz,-134.694
1.256 GHz,-134.689
1.256 GHz,-134.685
1.256 GHz,-134.681
1.256 GHz,-134.677
1.257 GHz,-134.673
1.257 GHz,-134.669
1.257 GHz,-134.666
1.258 GHz,-134.662
1.258 GHz,-134.659
1.258 GHz,-134.656
1.258 GHz,-134.653
1.259 GHz,-134.651
1.259 GHz,-134.648
1.259 GHz,-134.646
1.260 GHz,-134.644
1.260 GHz,-134.642
1.260 GHz,-134.641
1.260 GHz,-134.640
1.261 GHz,-134.638
1.261 GHz,-134.637
1.261 GHz,-134.636
1.262 GHz,-134.636
1.262 GHz,-134.635
1.262 GHz,-134.635
1.262 GHz,-134.634
1.263 GHz,-134.634
1.263 GHz,-134.634
1.263 GHz,-134.634
1.264 GHz,-134.635
1.264 GHz,-134.635
1.264 GHz,-134.636
1.264 GHz,-134.636
1.265 GHz,-134.637
1.265 GHz,-134.638
1.265 GHz,-134.640
1.266 GHz,-134.641
1.266 GHz,-134.642
1.266 GHz,-134.644
1.266 GHz,-134.646
1.267 GHz,-134.648
1.267 GHz,-134.650
1.267 GHz,-134.653
1.267 GHz,-134.655
1.268 GHz,-134.658
1.268 GHz,-134.660
1.268 GHz,-134.663
1.269 GHz,-134.667
1.269 GHz,-134.670
1.269 GHz,-134.673
1.269 GHz,-134.677
